,Close
342,3539.28
343,3665.3
344,3594.87
345,3616.21
346,3591.84
347,3553.06
348,3626.09
349,3476.81
350,3583.13
351,3601.31
352,3585.88
353,3966.65
354,3955.13
355,3975.45
356,3987.6
357,3770.96
358,3792.01
359,3766.78
360,3858.56
361,3797.14
362,3702.9
363,3801.91
364,3695.32
365,3839.26
366,3567.91
367,3777.74
368,3745.79
369,4008.01
370,3929.71
371,3948.91
372,3838.66
373,4049.62
374,3662.22
375,3652.98
376,3509.08
377,3228.67
378,3211.72
379,3224.17
380,3302.06
381,3445.0
382,3389.69
383,3432.88
384,3545.37
385,3410.93
386,3403.55
387,3508.75
388,3769.84
389,3951.64
390,3884.01
391,4161.01
392,4190.02
393,4053.09
394,4295.84
395,4264.85
396,3875.21
397,3862.2
398,4085.78
399,3932.44
400,4420.61
401,4370.0
402,4661.07
403,4558.86
404,4910.03
405,5662.0
406,5628.29
407,5655.94
408,5753.4
409,5922.41
410,6457.66
411,6453.07
412,6449.81
413,6433.05
414,6419.99
415,6479.84
416,6578.46
417,6519.11
418,6468.99
419,6485.85
420,6387.09
421,6433.98
422,6410.0
423,6371.93
424,6330.87
425,6344.5
426,6489.93
427,6505.6
428,6538.63
429,6528.09
430,6565.5
431,6553.51
432,6581.2
433,6590.11
434,6588.4
435,6528.88
436,6618.96
437,6740.89
438,6708.49
439,6755.73
440,6339.34
441,6332.93
442,6298.01
443,6252.68
444,6631.0
445,6656.61
446,6673.01
447,6615.26
448,6594.27
449,6635.65
450,6593.79
451,6510.0
452,6525.79
453,6611.61
454,6626.57
455,6596.38
456,6634.58
457,6689.13
458,6465.12
459,6447.54
460,6581.39
461,6708.0
462,6723.05
463,6759.02
464,6492.0
465,6391.89
466,6336.45
467,6248.69
468,6505.0
469,6514.96
470,6476.63
471,6487.38
472,6338.62
473,6294.91
474,6312.0
475,6250.81
476,6185.05
477,6395.54
478,6516.01
479,6700.0
480,7359.06
481,7263.02
482,7302.01
483,7200.01
484,7011.21
485,6984.84
486,7031.22
487,7076.11
488,6908.64
489,6700.0
490,6733.64
491,6681.64
492,6525.01
493,6360.89
494,6480.0
495,6254.84
496,6477.53
497,6387.96
498,6584.49
499,6311.75
500,6267.16
501,6188.08
502,6246.35
503,6077.3
504,6077.3
505,6144.01
506,6529.79
507,6285.0
508,6720.06
509,6934.82
510,7024.19
511,7009.84
512,7418.78
513,7525.71
514,7611.64
515,7730.93
516,8173.92
517,8211.0
518,8225.04
519,8188.57
520,7920.0
521,8175.64
522,8397.24
523,7721.01
524,7394.79
525,7398.78
526,7337.53
527,7466.21
528,7381.9
529,7317.44
530,6723.35
531,6353.01
532,6251.99
533,6214.57
534,6250.57
535,6378.07
536,6296.91
537,6662.12
538,6712.1
539,6756.98
540,6609.78
541,6529.2
542,6586.98
543,6513.86
544,6615.29
545,6356.81
546,6390.07
547,6197.92
548,5853.98
549,6133.73
550,6070.78
551,6252.0
552,6136.97
553,6149.98
554,6045.0
555,6718.84
556,6761.51
557,6741.21
558,6712.46
559,6449.61
560,6483.98
561,6388.9
562,6635.98
563,6292.78
564,6530.0
565,6872.0
566,6764.99
567,7491.73
568,7603.44
569,7691.08
570,7658.84
571,7625.0
572,7487.0
573,7714.26
574,7640.03
575,7521.01
576,7485.01
577,7375.96
578,7461.29
579,7099.0
580,7338.99
581,7333.96
582,7457.0
583,7575.01
584,7501.95
585,7977.11
586,8381.24
587,8526.98
588,8233.49
589,8239.81
590,8041.46
591,8330.0
592,8462.0
593,8663.34
594,8679.71
595,8465.94
596,8400.0
597,9002.2
598,9310.0
599,9184.0
600,9365.0
601,9659.01
602,9864.0
603,9713.99
604,9750.0
605,9247.84
606,9071.48
607,9246.01
608,9419.0
609,9348.0
610,8915.35
611,9266.0
612,8869.99
613,9622.02
614,8934.01
615,8787.02
616,8915.31
617,8856.98
618,8278.0
619,8173.0
620,7885.02
621,8064.92
622,8355.0
623,7999.01
624,7877.41
625,7923.0
626,6953.79
627,6843.9
628,6782.72
629,7018.0
630,6895.8
631,6601.39
632,6770.76
633,6796.1
634,7405.21
635,7056.0
636,6813.01
637,6923.91
638,6840.23
639,7090.14
640,7949.3
641,7795.51
642,8134.23
643,8470.15
644,8546.86
645,8898.03
646,8722.9
647,8885.0
648,8909.98
649,8600.0
650,8189.99
651,7824.8
652,8260.0
653,8240.98
654,8170.0
655,9150.0
656,9131.22
657,9533.57
658,8770.22
659,9227.0
660,9271.64
661,9910.0
662,10716.48
663,11454.0
664,11515.0
665,11464.48
666,11039.0
667,10920.0
668,10326.76
669,10569.04
670,10324.0
671,9590.0
672,9694.51
673,10131.04
674,9812.0
675,10437.6
676,11200.99
677,11153.0
678,10388.87
679,11039.55
680,10159.98
681,10000.09
682,9449.99
683,8539.9
684,8903.0
685,8063.88
686,8533.98
687,8683.92
688,7784.02
689,7599.0
690,7652.14
691,6939.99
692,8184.81
693,9199.96
694,8873.03
695,9224.52
696,10285.1
697,10237.51
698,11251.0
699,11879.95
700,11498.31
701,11089.0
702,11175.27
703,11350.0
704,10799.18
705,10760.05
706,11530.0
707,12799.94
708,11474.98
709,10961.97
710,10988.79
711,10900.0
712,13539.93
713,13474.99
714,14210.0
715,13740.01
716,13238.78
717,14907.09
718,14400.0
719,14902.54
720,16150.03
721,17069.79
722,16960.39
723,15059.54
724,14919.51
725,14675.11
726,13387.0
727,13716.36
728,12440.01
729,14378.9
730,14182.11
731,15459.99
732,15689.01
733,13699.34
734,13500.0
735,13300.0
736,13326.61
737,15492.64
738,16488.98
739,17295.2
740,18856.25
741,18860.02
742,19102.66
743,17539.83
744,16334.98
745,16033.29
746,16349.99
747,16587.97
748,14899.98
749,14656.07
750,15880.0
751,16599.0
752,13550.05
753,11699.99
754,11579.0
755,11165.41
756,10890.01
757,10782.99
758,9838.96
759,9687.88
760,9896.8
761,9650.0
762,9128.02
763,8700.01
764,8138.0
765,8019.99
766,8205.92
767,8119.51
768,8212.0
769,8038.0
770,7761.94
771,7699.19
772,7864.5
773,7240.06
774,6574.99
775,6465.99
776,5811.03
777,6245.05
778,6506.98
779,7079.99
780,7303.0
781,7064.04
782,6960.12
783,7345.01
784,7357.09
785,7115.04
786,7019.98
787,6753.98
788,6463.0
789,6120.5
790,6169.98
791,5719.64
792,5768.83
793,5861.77
794,5689.99
795,5477.03
796,5915.93
797,5950.02
798,6024.97
799,6010.01
800,5683.9
801,5512.06
802,5595.0
803,5760.02
804,5709.99
805,5869.99
806,5649.98
807,5430.0
808,4821.43
809,4783.06
810,4786.95
811,4640.0
812,4423.0
813,4369.0
814,4292.43
815,4208.59
816,4310.0
817,4380.0
818,4378.48
819,4378.51
820,4174.69
821,4174.5
822,4193.0
823,3882.35
824,3920.75
825,3660.02
826,3780.0
827,3595.87
828,3609.99
829,3900.0
830,3910.04
831,4035.01
832,3699.99
833,3714.95
834,3700.0
835,3189.02
836,3944.69
837,4163.72
838,4208.47
839,4130.37
840,4258.81
841,4282.8
842,4691.61
843,4619.77
844,4366.47
845,4100.11
846,4509.08
847,4472.14
848,4834.91
849,4724.89
850,4555.14
851,4587.48
852,4386.69
853,4310.01
854,4337.44
855,4280.68
856,4316.01
857,4114.01
858,4040.0
859,4016.0
860,4086.29
861,4139.98
