,Open,High,Low,Close,Volume BTC,Volume USDT mil,Open_b_1,High_b_1,Low_b_1,Close_b_1,Volume_(BTC)_b_1,Volume_(Currency)_b_1
662,11464.48,11565.0,11050.02,11515.0,16252.37,183.0776636,11515.0,11710.0,11415.01,11454.0,14276.07,164.8423619
663,11039.0,11544.0,11015.01,11464.48,20044.83,227.6438244,11464.48,11565.0,11050.02,11515.0,16252.37,183.0776636
664,10920.0,11200.0,10770.0,11039.0,22326.97,245.5109276,11039.0,11544.0,11015.01,11464.48,20044.83,227.6438244
665,10326.76,11060.41,10240.0,10920.0,23394.5,249.99997830000004,10920.0,11200.0,10770.0,11039.0,22326.97,245.5109276
666,10569.04,11098.0,10300.0,10326.76,28318.19,301.44170360000004,10326.76,11060.41,10240.0,10920.0,23394.5,249.99997830000004
667,10324.0,10870.0,10121.0,10569.04,28490.63,300.87359730000003,10569.04,11098.0,10300.0,10326.76,28318.19,301.44170360000004
668,9590.0,10444.32,9350.0,10324.0,31829.46,317.01473230000005,10324.0,10870.0,10121.0,10569.04,28490.63,300.87359730000003
669,9694.51,9847.0,9274.8,9590.0,26646.08,254.7794324,9590.0,10444.32,9350.0,10324.0,31829.46,317.01473230000005
670,10131.04,10496.97,9352.0,9694.51,37601.32,372.9317688,9694.51,9847.0,9274.8,9590.0,26646.08,254.7794324
671,9811.04,10435.0,9570.19,10131.04,51699.13,516.7640213000001,10131.04,10496.97,9352.0,9694.51,37601.32,372.9317688
672,10437.6,10933.44,9679.0,9812.0,60160.28,612.0366001,9811.04,10435.0,9570.19,10131.04,51699.13,516.7640213000001
673,11200.99,11304.03,10200.0,10437.6,60698.11,651.8418613,10437.6,10933.44,9679.0,9812.0,60160.28,612.0366001
674,11153.0,11786.01,11100.59,11200.99,42976.9,492.45668839999996,11200.99,11304.03,10200.0,10437.6,60698.11,651.8418613
675,10383.43,11250.0,10270.33,11153.0,35933.51,391.1748958,11153.0,11786.01,11100.59,11200.99,42976.9,492.45668839999996
676,11039.55,11274.0,10080.0,10388.87,55159.58,585.9679085,10383.43,11250.0,10270.33,11153.0,35933.51,391.1748958
677,10159.98,11075.07,10050.0,11039.55,38435.94,409.2955056,11039.55,11274.0,10080.0,10388.87,55159.58,585.9679085
678,10000.09,10323.37,9666.0,10159.98,35216.36,351.7119516,10159.98,11075.07,10050.0,11039.55,38435.94,409.2955056
679,9449.99,10219.5,9301.5,10000.09,47105.76,460.45030499999996,10000.09,10323.37,9666.0,10159.98,35216.36,351.7119516
680,8539.9,9489.6,8533.0,9449.99,37166.09,336.9867089,9449.99,10219.5,9301.5,10000.09,47105.76,460.45030499999996
681,8903.0,8950.0,8351.0,8539.9,32588.8,280.5030544,8539.9,9489.6,8533.0,9449.99,37166.09,336.9867089
682,8063.88,8989.0,8053.0,8903.0,38398.92,331.4522611,8903.0,8950.0,8351.0,8539.9,32588.8,280.5030544
683,8533.98,8549.0,7726.53,8063.88,41338.22,336.8754185,8063.88,8989.0,8053.0,8903.0,38398.92,331.4522611
684,8683.92,9065.78,8120.0,8533.98,45048.99,386.3178646,8533.98,8549.0,7726.53,8063.88,41338.22,336.8754185
685,7784.02,8738.0,7784.02,8683.92,19100.17,161.66144630000002,8683.92,9065.78,8120.0,8533.98,45048.99,386.3178646
686,7599.0,7844.0,7572.09,7784.02,1376.8,10.65067329,7784.02,8738.0,7784.02,8683.92,19100.17,161.66144630000002
687,7652.14,8476.0,7150.01,7599.0,55738.8,438.3334743,7599.0,7844.0,7572.09,7784.02,1376.8,10.65067329
688,6939.99,7878.0,6000.01,7652.14,88573.43,604.8271925,7652.14,8476.0,7150.01,7599.0,55738.8,438.3334743
689,8184.81,8382.8,6625.0,6939.99,56551.1,420.7639275,6939.99,7878.0,6000.01,7652.14,88573.43,604.8271925
690,9199.96,9368.0,7930.0,8184.81,29653.19,254.7873858,8184.81,8382.8,6625.0,6939.99,56551.1,420.7639275
691,8873.03,9473.01,8229.0,9199.96,26861.87,240.16721669999998,9199.96,9368.0,7930.0,8184.81,29653.19,254.7873858
692,9224.52,9250.0,8010.02,8873.03,45683.92,397.0585955,8873.03,9473.01,8229.0,9199.96,26861.87,240.16721669999998
693,10285.1,10335.0,8750.99,9224.52,31291.48,296.17391160000005,9224.52,9250.0,8010.02,8873.03,45683.92,397.0585955
694,10237.51,10425.85,9700.0,10285.1,16790.52,169.3135119,10285.1,10335.0,8750.99,9224.52,31291.48,296.17391160000005
695,11251.0,11308.42,9900.0,10237.51,23705.37,249.66547319999998,10237.51,10425.85,9700.0,10285.1,16790.52,169.3135119
696,11879.95,11975.02,11139.55,11251.0,13396.35,153.2528303,11251.0,11308.42,9900.0,10237.51,23705.37,249.66547319999998
697,11498.31,12244.0,11408.0,11879.95,15989.57,189.55305980000003,11879.95,11975.02,11139.55,11251.0,13396.35,153.2528303
698,11089.0,11650.0,10842.69,11498.31,17752.21,200.1632186,11498.31,12244.0,11408.0,11879.95,15989.57,189.55305980000003
699,11175.27,11643.0,10311.15,11089.0,30454.62,332.16929419999997,11089.0,11650.0,10842.69,11498.31,17752.21,200.1632186
700,11349.99,11794.05,10950.21,11175.27,19534.52,221.2892307,11175.27,11643.0,10311.15,11089.0,30454.62,332.16929419999997
701,10799.18,11570.48,10500.0,11350.0,25385.61,279.9165636,11349.99,11794.05,10950.21,11175.27,19534.52,221.2892307
702,10760.05,11399.0,9905.0,10799.18,34576.61,368.5258591,10799.18,11570.48,10500.0,11350.0,25385.61,279.9165636
703,11530.0,11926.35,9900.24,10760.05,40200.74,437.39009280000005,10760.05,11399.0,9905.0,10799.18,34576.61,368.5258591
704,12799.94,12799.94,10965.0,11530.0,38198.74,448.15725210000005,11530.0,11926.35,9900.24,10760.05,40200.74,437.39009280000005
705,11474.98,13099.0,11412.45,12799.94,26892.43,335.176241,12799.94,12799.94,10965.0,11530.0,38198.74,448.15725210000005
706,10961.97,11795.0,10360.0,11474.98,31725.06,355.88606949999996,11474.98,13099.0,11412.45,12799.94,26892.43,335.176241
707,10988.79,11878.82,10435.33,10961.97,44630.41,498.5746732,10961.97,11795.0,10360.0,11474.98,31725.06,355.88606949999996
708,10900.0,11680.99,9037.94,10988.79,65739.97,676.5113972,10988.79,11878.82,10435.33,10961.97,44630.41,498.5746732
709,13539.93,13542.93,9035.0,10900.0,57782.94,659.1754592999999,10900.0,11680.99,9037.94,10988.79,65739.97,676.5113972
